KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,MIN_TUPY,MAX_TUPY,MIN_OSTRY,MAX_OSTRY,EXPORT_DWH
CS,INTERVAL,7700,410099420100000,<99; 100>,99 až 100 (více nebo rovno 99 a méně nebo rovno 100),1900-01-01,9999-09-09,NA,NA,99,100,NA
CS,INTERVAL,7700,410099620100000,<99; 100),99 až 100 (více nebo rovno 99 a méně než 100),1900-01-01,9999-09-09,NA,100,99,NA,NA
CS,INTERVAL,7700,410099799999000,<99; N),Od 99 (více nebo rovno 99),1900-01-01,9999-09-09,NA,99999999999999999999,99,NA,NA
CS,INTERVAL,7700,420100420100000,<100; 100>,100,1900-01-01,9999-09-09,NA,NA,100,100,NA
CS,INTERVAL,7700,420100420250000,<100; 250>,100 až 250 (více nebo rovno 100 a méně nebo rovno 250),1900-01-01,9999-09-09,NA,NA,100,250,NA
CS,INTERVAL,7700,420100620101000,<100; 101),100 až 101 (více nebo rovno 100 a méně než 101),1900-01-01,9999-09-09,NA,101,100,NA,NA
CS,INTERVAL,7700,420100620120000,<100; 120),100 až 120 (více nebo rovno 100 a méně než 120),1900-01-01,9999-09-09,NA,120,100,NA,NA
CS,INTERVAL,7700,420100620150000,<100; 150),100 až 150 (více nebo rovno 100 a méně než 150),1900-01-01,9999-09-09,NA,150,100,NA,NA
CS,INTERVAL,7700,420100620200000,<100; 200),100 až 200 (více nebo rovno 100 a méně než 200),1900-01-01,9999-09-09,NA,200,100,NA,A
CS,INTERVAL,7700,420100620250000,<100; 250),100 až 250 (více nebo rovno 100 a méně než 250),1900-01-01,9999-09-09,NA,250,100,NA,NA
CS,INTERVAL,7700,420100620300000,<100; 300),100 až 300 (více nebo rovno 100 a méně než 300),1900-01-01,9999-09-09,NA,300,100,NA,NA
CS,INTERVAL,7700,420100620500000,<100; 500),100 až 500 (více nebo rovno 100 a méně než 500),1900-01-01,9999-09-09,NA,500,100,NA,A
CS,INTERVAL,7700,420100799999000,<100; N),Od 100 (více nebo rovno 100),1900-01-01,9999-09-09,NA,99999999999999999999,100,NA,NA
CS,INTERVAL,7700,420101420101000,<101; 101>,101,1900-01-01,9999-09-09,NA,NA,101,101,NA
CS,INTERVAL,7700,420101420150000,<101; 150>,101 až 150 (více nebo rovno 101 a méně nebo rovno 150),1900-01-01,9999-09-09,NA,NA,101,150,NA
CS,INTERVAL,7700,420101620102000,<101; 102),101 až 102 (více nebo rovno 101 a méně než 102),1900-01-01,9999-09-09,NA,102,101,NA,NA
CS,INTERVAL,7700,420101799999000,<101; N),Od 101 (více nebo rovno 101),1900-01-01,9999-09-09,NA,99999999999999999999,101,NA,NA
CS,INTERVAL,7700,420102420102000,<102; 102>,102,1900-01-01,9999-09-09,NA,NA,102,102,NA
CS,INTERVAL,7700,420102620103000,<102; 103),102 až 103 (více nebo rovno 102 a méně než 103),1900-01-01,9999-09-09,NA,103,102,NA,NA
CS,INTERVAL,7700,420103420103000,<103; 103>,103,1900-01-01,9999-09-09,NA,NA,103,103,NA
CS,INTERVAL,7700,420103620104000,<103; 104),103 až 104 (více nebo rovno 103 a méně než 104),1900-01-01,9999-09-09,NA,104,103,NA,NA
CS,INTERVAL,7700,420103799999000,<103; N),Od 103 (více nebo rovno 103),1900-01-01,9999-09-09,NA,99999999999999999999,103,NA,NA
CS,INTERVAL,7700,420104420104000,<104; 104>,104,1900-01-01,9999-09-09,NA,NA,104,104,NA
CS,INTERVAL,7700,420104620105000,<104; 105),104 až 105 (více nebo rovno 104 a méně než 105),1900-01-01,9999-09-09,NA,105,104,NA,NA
CS,INTERVAL,7700,420105420105000,<105; 105>,105,1900-01-01,9999-09-09,NA,NA,105,105,NA
CS,INTERVAL,7700,420105620106000,<105; 106),105 až 106 (více nebo rovno 105 a méně než 106),1900-01-01,9999-09-09,NA,106,105,NA,NA
CS,INTERVAL,7700,420106420106000,<106; 106>,106,1900-01-01,9999-09-09,NA,NA,106,106,NA
CS,INTERVAL,7700,420107420107000,<107; 107>,107,1900-01-01,9999-09-09,NA,NA,107,107,NA
CS,INTERVAL,7700,420108420108000,<108; 108>,108,1900-01-01,9999-09-09,NA,NA,108,108,NA
CS,INTERVAL,7700,420109420109000,<109; 109>,109,1900-01-01,9999-09-09,NA,NA,109,109,NA
CS,INTERVAL,7700,420109420110000,<109; 110>,109 až 110 (více nebo rovno 109 a méně nebo rovno 110),1900-01-01,9999-09-09,NA,NA,109,110,NA
CS,INTERVAL,7700,420110420110000,<110; 110>,110,1900-01-01,9999-09-09,NA,NA,110,110,NA
CS,INTERVAL,7700,420110799999000,<110; N),Od 110 (více nebo rovno 110),1900-01-01,9999-09-09,NA,99999999999999999999,110,NA,NA
CS,INTERVAL,7700,420111420111000,<111; 111>,111,1900-01-01,9999-09-09,NA,NA,111,111,NA
CS,INTERVAL,7700,420112420112000,<112; 112>,112,1900-01-01,9999-09-09,NA,NA,112,112,NA
CS,INTERVAL,7700,420113420113000,<113; 113>,113,1900-01-01,9999-09-09,NA,NA,113,113,NA
CS,INTERVAL,7700,420114420114000,<114; 114>,114,1900-01-01,9999-09-09,NA,NA,114,114,NA
CS,INTERVAL,7700,420115420115000,<115; 115>,115,1900-01-01,9999-09-09,NA,NA,115,115,NA
CS,INTERVAL,7700,420116420116000,<116; 116>,116,1900-01-01,9999-09-09,NA,NA,116,116,NA
CS,INTERVAL,7700,420117420117000,<117; 117>,117,1900-01-01,9999-09-09,NA,NA,117,117,NA
CS,INTERVAL,7700,420118420118000,<118; 118>,118,1900-01-01,9999-09-09,NA,NA,118,118,NA
CS,INTERVAL,7700,420119420119000,<119; 119>,119,1900-01-01,9999-09-09,NA,NA,119,119,NA
CS,INTERVAL,7700,420120420120000,<120; 120>,120,1900-01-01,9999-09-09,NA,NA,120,120,NA
CS,INTERVAL,7700,420120420310000,<120; 310>,120 až 310 (více nebo rovno 120 a méně nebo rovno 310),1900-01-01,9999-09-09,NA,NA,120,310,NA
CS,INTERVAL,7700,420120420476000,<120; 476>,120 až 476 (více nebo rovno 120 a méně nebo rovno 476),1900-01-01,9999-09-09,NA,NA,120,476,NA
CS,INTERVAL,7700,420120620140000,<120; 140),120 až 140 (více nebo rovno 120 a méně než 140),1900-01-01,9999-09-09,NA,140,120,NA,NA
CS,INTERVAL,7700,420120620150000,<120; 150),120 až 150 (více nebo rovno 120 a méně než 150),1900-01-01,9999-09-09,NA,150,120,NA,NA
CS,INTERVAL,7700,420120620400000,<120; 400),120 až 400 (více nebo rovno 120 a méně než 400),1900-01-01,9999-09-09,NA,400,120,NA,NA
CS,INTERVAL,7700,420120799999000,<120; N),Od 120 (více nebo rovno 120),1900-01-01,9999-09-09,NA,99999999999999999999,120,NA,NA
CS,INTERVAL,7700,420121420121000,<121; 121>,121,1900-01-01,9999-09-09,NA,NA,121,121,NA
CS,INTERVAL,7700,420121420122000,<121; 122>,121 až 122 (více nebo rovno 121 a méně nebo rovno 122),1900-01-01,9999-09-09,NA,NA,121,122,NA
CS,INTERVAL,7700,420122420122000,<122; 122>,122,1900-01-01,9999-09-09,NA,NA,122,122,NA
CS,INTERVAL,7700,420123420123000,<123; 123>,123,1900-01-01,9999-09-09,NA,NA,123,123,NA
CS,INTERVAL,7700,420124420124000,<124; 124>,124,1900-01-01,9999-09-09,NA,NA,124,124,NA
CS,INTERVAL,7700,420125420125000,<125; 125>,125,1900-01-01,9999-09-09,NA,NA,125,125,NA
CS,INTERVAL,7700,420126420126000,<126; 126>,126,1900-01-01,9999-09-09,NA,NA,126,126,NA
CS,INTERVAL,7700,420127420127000,<127; 127>,127,1900-01-01,9999-09-09,NA,NA,127,127,NA
